c_Municipio,c_Estado,Descripción,Fecha de inicio de vigencia,Fecha de fin de vigencia
022,YUC,Chikindzonot,01/01/2022,
022,ZAC,Juan Aldama,01/01/2022,
023,COA,Ocampo,01/01/2022,
023,CHH,Galeana,01/01/2022,
023,CHP,Chamula,01/01/2022,
023,DUR,Pueblo Nuevo,01/01/2022,
023,GRO,Cuajinicuilapa,01/01/2022,
023,GUA,Pénjamo,01/01/2022,
023,HID,Francisco I. Madero,01/01/2022,
023,JAL,Zapotlán el Grande,01/01/2022,
023,MEX,Coyotepec,01/01/2022,
023,MIC,Chavinda,01/01/2022,
023,MOR,Tlalnepantla,01/01/2022,
023,NLE,General Treviño,01/01/2022,
023,OAX,Cuilápam de Guerrero,01/01/2022,
023,PUE,Atzitzintla,01/01/2022,
023,SLP,Rayón,01/01/2022,
023,SON,Cumpas,01/01/2022,
023,TAM,Méndez,01/01/2022,
023,TLA,Natívitas,01/01/2022,
023,VER,Atzalan,01/01/2022,
023,YUC,Chocholá,01/01/2022,
023,ZAC,Juchipila,01/01/2022,
024,COA,Parras,01/01/2022,
024,CHH,Santa Isabel,01/01/2022,
024,CHP,Chanal,01/01/2022,
024,DUR,Rodeo,01/01/2022,
024,GRO,Cualác,01/01/2022,
024,GUA,Pueblo Nuevo,01/01/2022,
024,HID,Huasca de Ocampo,01/01/2022,
024,JAL,Cocula,01/01/2022,
024,MEX,Cuautitlán,01/01/2022,
024,MIC,Cherán,01/01/2022,
024,MOR,Tlaltizapán de Zapata,01/01/2022,
024,NLE,General Zaragoza,01/01/2022,
024,OAX,Cuyamecalco Villa de Zaragoza,01/01/2022,
024,PUE,Axutla,01/01/2022,
024,SLP,Rioverde,01/01/2022,
024,SON,Divisaderos,01/01/2022,
024,TAM,Mier,01/01/2022,
024,TLA,Panotla,01/01/2022,
024,VER,Tlaltetela,01/01/2022,
