c_CodigoPostal,c_Estado,c_Municipio,c_Localidad,Estímulo Franja Fronteriza,Fecha inicio de vigencia ,Fecha fin de vigencia ,Descripción del Huso Horario,Mes_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Diferencia_Horaria_Verano,Mes_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Diferencia_Horaria_Invierno
20153,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20154,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20155,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20156,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20157,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20158,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20159,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20160,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20161,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20162,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20163,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20164,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20165,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20166,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20167,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20168,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20169,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20170,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20171,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20172,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20173,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20174,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20175,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20176,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20177,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20178,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20179,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20180,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20181,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20182,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20183,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20184,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20185,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20186,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20187,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20188,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20189,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20190,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20191,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20192,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20193,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20194,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20195,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20196,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20197,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20198,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20199,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20200,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20201,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20202,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20203,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20204,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20205,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20206,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20207,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20208,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20209,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20210,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20211,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20212,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20213,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20214,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20215,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20216,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20217,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20218,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20219,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20220,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20221,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20222,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20223,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20224,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20225,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20226,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20227,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20228,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20229,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20230,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20231,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20232,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20233,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20234,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20235,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20236,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20237,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
